model,threshold,precision,recall,f1
mm_fusion,0.1,0.15,1.0,0.2608695652173913
mm_fusion,0.15000000000000002,0.17777777777777778,0.5333333333333333,0.26666666666666666
mm_fusion,0.2,0.75,0.2,0.31578947368421056
mm_fusion,0.25,0.0,0.0,0.0
mm_fusion,0.30000000000000004,0.0,0.0,0.0
mm_fusion,0.35,0.0,0.0,0.0
mm_fusion,0.4,0.0,0.0,0.0
mm_fusion,0.45000000000000007,0.0,0.0,0.0
mm_fusion,0.5,0.0,0.0,0.0
mm_fusion,0.55,0.0,0.0,0.0
mm_fusion,0.6,0.0,0.0,0.0
mm_fusion,0.65,0.0,0.0,0.0
mm_fusion,0.7000000000000001,0.0,0.0,0.0
mm_fusion,0.75,0.0,0.0,0.0
mm_fusion,0.8,0.0,0.0,0.0
mm_fusion,0.85,0.0,0.0,0.0
mm_fusion,0.9,0.0,0.0,0.0
