model,threshold,precision,recall,f1
mm_fusion,0.1,0.2727272727272727,0.6,0.37499999999999994
mm_fusion,0.15000000000000002,0.5,0.4,0.4444444444444445
mm_fusion,0.2,1.0,0.2,0.33333333333333337
mm_fusion,0.25,0.0,0.0,0.0
mm_fusion,0.30000000000000004,0.0,0.0,0.0
mm_fusion,0.35,0.0,0.0,0.0
mm_fusion,0.4,0.0,0.0,0.0
mm_fusion,0.45000000000000007,0.0,0.0,0.0
mm_fusion,0.5,0.0,0.0,0.0
mm_fusion,0.55,0.0,0.0,0.0
mm_fusion,0.6,0.0,0.0,0.0
mm_fusion,0.65,0.0,0.0,0.0
mm_fusion,0.7000000000000001,0.0,0.0,0.0
mm_fusion,0.75,0.0,0.0,0.0
mm_fusion,0.8,0.0,0.0,0.0
mm_fusion,0.85,0.0,0.0,0.0
mm_fusion,0.9,0.0,0.0,0.0
