model,threshold,precision,recall,f1
text_expert,0.1,0.14285714285714285,0.4,0.21052631578947364
text_expert,0.15000000000000002,0.3333333333333333,0.2,0.25
text_expert,0.2,1.0,0.2,0.33333333333333337
text_expert,0.25,0.0,0.0,0.0
text_expert,0.30000000000000004,0.0,0.0,0.0
text_expert,0.35,0.0,0.0,0.0
text_expert,0.4,0.0,0.0,0.0
text_expert,0.45000000000000007,0.0,0.0,0.0
text_expert,0.5,0.0,0.0,0.0
text_expert,0.55,0.0,0.0,0.0
text_expert,0.6,0.0,0.0,0.0
text_expert,0.65,0.0,0.0,0.0
text_expert,0.7000000000000001,0.0,0.0,0.0
text_expert,0.75,0.0,0.0,0.0
text_expert,0.8,0.0,0.0,0.0
text_expert,0.85,0.0,0.0,0.0
text_expert,0.9,0.0,0.0,0.0
