model,threshold,precision,recall,f1
vision_expert,0.1,0.42857142857142855,0.6,0.5
vision_expert,0.15000000000000002,1.0,0.4,0.5714285714285715
vision_expert,0.2,1.0,0.2,0.33333333333333337
vision_expert,0.25,0.0,0.0,0.0
vision_expert,0.30000000000000004,0.0,0.0,0.0
vision_expert,0.35,0.0,0.0,0.0
vision_expert,0.4,0.0,0.0,0.0
vision_expert,0.45000000000000007,0.0,0.0,0.0
vision_expert,0.5,0.0,0.0,0.0
vision_expert,0.55,0.0,0.0,0.0
vision_expert,0.6,0.0,0.0,0.0
vision_expert,0.65,0.0,0.0,0.0
vision_expert,0.7000000000000001,0.0,0.0,0.0
vision_expert,0.75,0.0,0.0,0.0
vision_expert,0.8,0.0,0.0,0.0
vision_expert,0.85,0.0,0.0,0.0
vision_expert,0.9,0.0,0.0,0.0
